"pc of total sites ncov gt 4"	"total sites gt 4"
"S1.gz"	46.3354256563334	230977
"S10.gz"	69.8619227304915	348254
"S11.gz"	60.8007398357837	303085
"S12.gz"	65.5853990760077	326936
"S13.gz"	48.8664744858964	243594
"S14.gz"	52.9762943615606	264081
"S15.gz"	41.9281067385639	209007
"S16.gz"	60.0992198423636	299588
"S17.gz"	61.1363540619753	304758
"S18.gz"	60.2516805787089	300348
"S19.gz"	59.2197621211301	295204
"S2.gz"	50.6470554014231	252470
"S3.gz"	51.8464800627496	258449
"S4.gz"	71.3048833575064	355447
"S5.gz"	45.0471324342162	224555
"S6.gz"	46.7667290552048	233127
"S7.gz"	81.9506548790445	408515
"S8.gz"	55.0497603758558	274417
"S9.gz"	78.3144663172106	390389
