"seqnames"	"start"	"end"	"width"	"strand"	"block_mean"	"block_sum"	"L"	"PC"	"imp"
"chr2.1"	"chr2"	45582	45636	55	"*"	182.636363636364	2009	11	0.0785777051639449	0.0717703349282297
"chr2.2"	"chr2"	47293	47602	310	"*"	472	14160	30	0.168202254266945	0.012280701754386
"chr2.3"	"chr2"	90916	91185	270	"*"	166.92	4173	25	0.909818550400148	0.168421052631579
"chr2.4"	"chr2"	160205	160398	194	"*"	289.2	5784	20	0.793699252081425	0.0236842105263158
"chr2.5"	"chr2"	193202	193510	309	"*"	403.384615384615	10488	26	0.713734873176563	0.00404858299595142
"chr2.6"	"chr2"	214012	214160	149	"*"	270.384615384615	3515	13	0.890452942980938	0.0202429149797571
"chr2.7"	"chr2"	214070	214448	379	"*"	174.02	8701	50	0.843898076752115	0.141052631578947
"chr2.8"	"chr2"	263560	263779	220	"*"	243.176470588235	8268	34	0.16068262034906	0.0634674922600619
"chr2.11"	"chr2"	287327	287403	77	"*"	195.052631578947	3706	19	0.166785090624044	0.0581717451523546
"chr2.12"	"chr2"	289130	289823	694	"*"	246.418181818182	13553	55	0.0230987803382467	0.076555023923445
"chr2.13"	"chr2"	317565	317649	85	"*"	265.055555555556	4771	18	0.809237470016263	0.0584795321637427
"chr2.14"	"chr2"	363928	364529	602	"*"	635.111111111111	28580	45	0.858382951677621	0.0304093567251462
"chr2.15"	"chr2"	383328	383489	162	"*"	299	5681	19	0.308946179536229	0.0526315789473684
"chr2.16"	"chr2"	394242	394599	358	"*"	285.315789473684	10842	38	0.685831020101369	0.0484764542936288
"chr2.17"	"chr2"	445224	445551	328	"*"	272.277777777778	9802	36	0.777042484439691	0.0423976608187134
"chr2.18"	"chr2"	451757	451915	159	"*"	247.863636363636	5453	22	0.878386875750439	0.100478468899522
"chr2.19"	"chr2"	467751	467910	160	"*"	212.592592592593	5740	27	0.187051490568933	0.0760233918128655
"chr2.20"	"chr2"	468989	469215	227	"*"	478.6875	15318	32	0.230376521743017	0.00493421052631579
"chr2.21"	"chr2"	469650	469857	208	"*"	341.041666666667	8185	24	0.413830142531278	0.0175438596491228
"chr2.22"	"chr2"	484791	484956	166	"*"	296.777777777778	8013	27	0.905326394270803	0.0331384015594542
"chr2.23"	"chr2"	522031	522481	451	"*"	459.326530612245	22507	49	0.914500561883928	0.0408163265306122
"chr2.24"	"chr2"	554268	554743	476	"*"	256.769230769231	6676	26	0.708339097546878	0.0789473684210526
"chr2.25"	"chr2"	558974	559092	119	"*"	265.090909090909	2916	11	0.568778614172726	0.0191387559808612
"chr2.26"	"chr2"	592681	592928	248	"*"	326.2	4893	15	0.869970140324553	0.0280701754385965
"chr2.27"	"chr2"	593281	593414	134	"*"	354.235294117647	6022	17	0.52439038764235	0.0495356037151703
"chr2.28"	"chr2"	594950	595405	456	"*"	228.307692307692	5936	26	0.871008406790605	0.0748987854251012
"chr2.29"	"chr2"	620107	620353	247	"*"	204.526315789474	3886	19	0.84056537596995	0.132963988919668
"chr2.30"	"chr2"	620778	621069	292	"*"	219.068965517241	6353	29	0.880748456366216	0.116152450090744
"chr2.31"	"chr2"	628781	629226	446	"*"	448.042553191489	21058	47	0.738465285850157	0.0391937290033595
"chr2.32"	"chr2"	636073	636212	140	"*"	212.6	3189	15	0.848008384054706	0.087719298245614
"chr2.33"	"chr2"	637490	637621	132	"*"	421.6	6324	15	0.636343471449661	0
"chr2.34"	"chr2"	660566	660860	295	"*"	282.214285714286	7902	28	0.560680819051656	0.0432330827067669
"chr2.35"	"chr2"	662396	663052	657	"*"	328.725	13149	40	0.629421114537761	0.0236842105263158
"chr2.37"	"chr2"	691862	692024	163	"*"	428.45	8569	20	0.879674760069795	0.0289473684210526
"chr2.38"	"chr2"	720852	721017	166	"*"	490.047619047619	10291	21	0.90501852775296	0.012531328320802
"chr2.39"	"chr2"	730995	731662	668	"*"	215.584905660377	11426	53	0.749989865498506	0.105263157894737
"chr2.40"	"chr2"	778669	778804	136	"*"	290.333333333333	4355	15	0.54933612394098	0.0385964912280702
"chr2.41"	"chr2"	779098	779273	176	"*"	333.458333333333	8003	24	0.809328373050795	0.0175438596491228
"chr2.42"	"chr2"	795049	795490	442	"*"	371.896551724138	10785	29	0.813916262909115	0.0417422867513612
"chr2.43"	"chr2"	796324	796558	235	"*"	310.185185185185	8375	27	0.886033808720392	0.0175438596491228
"chr2.44"	"chr2"	862266	862451	186	"*"	180.285714285714	3786	21	0.734203139163358	0.0952380952380952
"chr2.45"	"chr2"	868150	868279	130	"*"	193.692307692308	2518	13	0.718775293884201	0.145748987854251
"chr2.46"	"chr2"	871125	871504	380	"*"	190.642857142857	5338	28	0.833963784550771	0.114661654135338
"chr2.47"	"chr2"	880196	880322	127	"*"	224.692307692308	5842	26	0.894087865722465	0.0991902834008097
"chr2.48"	"chr2"	883622	883976	355	"*"	389.166666666667	14010	36	0.26675407838634	0.0409356725146199
"chr2.49"	"chr2"	916057	916267	211	"*"	388.6	7772	20	0.864040351707463	0.0131578947368421
"chr2.50"	"chr2"	930104	930348	245	"*"	217.8	6534	30	0.692235692983277	0.1
"chr2.51"	"chr2"	932944	933298	355	"*"	421.083333333333	15159	36	0.763088133945289	0.00730994152046784
"chr2.52"	"chr2"	949721	950325	605	"*"	202.321428571429	5665	28	0.0463528438128297	0.0977443609022556
"chr2.53"	"chr2"	1066802	1066951	150	"*"	369.4	7388	20	0.874977848681065	0.00789473684210526
"chr2.54"	"chr2"	1133861	1134278	418	"*"	268.466666666667	8054	30	0.601909474608217	0.0508771929824561
"chr2.55"	"chr2"	1208591	1208777	187	"*"	279.809523809524	5876	21	0.834017509006712	0.0325814536340852
"chr2.56"	"chr2"	1225453	1225744	292	"*"	495.620689655172	14373	29	0.637318343846107	0.014519056261343
"chr2.57"	"chr2"	1228785	1228994	210	"*"	193.88	4847	25	0.829329477180263	0.143157894736842
"chr2.58"	"chr2"	1229713	1229948	236	"*"	193.266666666667	5798	30	0.914932433699752	0.103508771929825
"chr2.59"	"chr2"	1233463	1233587	125	"*"	397.307692307692	5165	13	0.792921041162391	0.0161943319838057
"chr2.61"	"chr2"	1272957	1273123	167	"*"	276.846153846154	7198	26	0.874589964448799	0.062753036437247
"chr2.62"	"chr2"	1282739	1282907	169	"*"	309.052631578947	5872	19	0.565087237456609	0.0304709141274238
"chr2.63"	"chr2"	1287577	1287777	201	"*"	330.733333333333	9922	30	0.870426767533148	0.0368421052631579
"chr2.64"	"chr2"	1354801	1355018	218	"*"	428.35	8567	20	0.881292978549579	0
"chr2.65"	"chr2"	1366664	1366889	226	"*"	262.68	6567	25	0.601005310068111	0.0736842105263158
"chr2.66"	"chr2"	1413334	1413501	168	"*"	440.208333333333	10565	24	0.699379228338563	0.00657894736842105
"chr2.67"	"chr2"	1484542	1484867	326	"*"	218.84	5471	25	0.890394884559012	0.12
"chr2.68"	"chr2"	1540305	1540678	374	"*"	231.558823529412	7873	34	0.878213539948261	0.0773993808049536
"chr2.70"	"chr2"	1594402	1594531	130	"*"	174.363636363636	1918	11	0.696404579053854	0.186602870813397
"chr2.71"	"chr2"	1603204	1603444	241	"*"	391.782608695652	9011	23	0.925737280637294	0.0160183066361556
"chr2.72"	"chr2"	1605242	1605465	224	"*"	359.166666666667	8620	24	0.532131766091332	0.0328947368421053
"chr2.73"	"chr2"	1605705	1606109	405	"*"	180.304347826087	4147	23	0.579448222240811	0.130434782608696
"chr2.74"	"chr2"	1621200	1621672	473	"*"	463.838709677419	14379	31	0.855659275288612	0.0067911714770798
"chr2.75"	"chr2"	1648576	1648813	238	"*"	229.852941176471	7815	34	0.942520277492239	0.111455108359133
"chr2.76"	"chr2"	1654378	1654527	150	"*"	327.5	6550	20	0.811122582743621	0.0289473684210526
"chr2.77"	"chr2"	1663562	1663798	237	"*"	361.571428571429	7593	21	0.893046545000203	0.0150375939849624
"chr2.78"	"chr2"	1664789	1665241	453	"*"	259.357142857143	7262	28	0.872785062947865	0.0488721804511278
"chr2.79"	"chr2"	1685362	1685409	48	"*"	114.5	1145	10	0.920398737113133	0.252631578947368
"chr2.80"	"chr2"	1686793	1687070	278	"*"	379.272727272727	8344	22	0.836354155380296	0.0191387559808612
"chr2.81"	"chr2"	1728383	1728769	387	"*"	485.586206896552	14082	29	0.728436044793091	0.0127041742286751
"chr2.82"	"chr2"	1742007	1742181	175	"*"	294.733333333333	4421	15	0.887456369704711	0.0526315789473684
"chr2.83"	"chr2"	1742414	1742587	174	"*"	316.105263157895	6006	19	0.732781391586134	0.0249307479224377
"chr2.84"	"chr2"	1742732	1743392	661	"*"	242.615384615385	15770	65	0.0967840865771498	0.0688259109311741
"chr2.85"	"chr2"	1744806	1745327	522	"*"	245.923076923077	9591	39	0.0725402000149721	0.0674763832658569
"chr2.86"	"chr2"	1759395	1759628	234	"*"	172.807692307692	4493	26	0.887677432608552	0.119433198380567
"chr2.87"	"chr2"	1792244	1792399	156	"*"	519	8304	16	0.52443058428469	0
"chr2.88"	"chr2"	1813492	1813695	204	"*"	241.473684210526	4588	19	0.716739131356949	0.0443213296398892
"chr2.89"	"chr2"	1817527	1818067	541	"*"	233.823529411765	7950	34	0.140769947715688	0.0588235294117647
"chr2.90"	"chr2"	1837271	1837360	90	"*"	353	3883	11	0.475972228305048	0.00478468899521531
"chr2.91"	"chr2"	1839097	1839450	354	"*"	224.150943396226	11880	53	0.899315778050805	0.117179741807349
"chr2.92"	"chr2"	1842714	1843241	528	"*"	164.416666666667	5919	36	0.883050709898443	0.171052631578947
"chr2.93"	"chr2"	1855188	1855457	270	"*"	508.2	12705	25	0.468173676637699	0.00210526315789474
"chr2.94"	"chr2"	1891334	1891420	87	"*"	230.166666666667	2762	12	0.495724416169196	0.0482456140350877
"chr2.95"	"chr2"	1922547	1923233	687	"*"	609.471698113208	32302	53	0.839454874832233	0.0198609731876862
"chr2.96"	"chr2"	1937276	1937499	224	"*"	283.717391304348	13051	46	0.878349823020054	0.105263157894737
"chr2.97"	"chr2"	1979655	1979763	109	"*"	322.954545454545	7105	22	0.899632513753068	0.00478468899521531
"chr2.98"	"chr2"	1996282	1996490	209	"*"	203.428571428571	2848	14	0.541622520465325	0.0639097744360902
"chr2.99"	"chr2"	2107821	2107916	96	"*"	440	6160	14	0.816045953709584	0
"chr2.100"	"chr2"	2120847	2121085	239	"*"	218.655172413793	6341	29	0.263186734170635	0.105263157894737
"chr2.101"	"chr2"	2189678	2189922	245	"*"	289.392857142857	8103	28	0.871976326754719	0.0601503759398496
"chr2.102"	"chr2"	2291616	2291763	148	"*"	300.035714285714	8401	28	0.870441707587153	0.0620300751879699
"chr2.103"	"chr2"	2324550	2324747	198	"*"	504.310344827586	14625	29	0.731261939505275	0.0127041742286751
"chr2.104"	"chr2"	2586863	2587024	162	"*"	373.555555555556	6724	18	0.879137991865679	0.0321637426900585
"chr2.105"	"chr2"	2613401	2613671	271	"*"	322.837837837838	11945	37	0.113782382926848	0.0312944523470839
"chr2.106"	"chr2"	2639580	2639730	151	"*"	342	7182	21	0.739339509534054	0.0150375939849624
"chr2.107"	"chr2"	2751555	2751694	140	"*"	165.666666666667	1988	12	0.857634344370611	0.179824561403509
"chr2.108"	"chr2"	2793658	2793962	305	"*"	289.458333333333	6947	24	0.863396155988197	0.0942982456140351
"chr2.109"	"chr2"	2795659	2795909	251	"*"	215.153846153846	2797	13	0.877612108189204	0.121457489878543
"chr2.110"	"chr2"	2961077	2961184	108	"*"	465.277777777778	8375	18	0.895592398428407	0.00292397660818713
"chr2.111"	"chr2"	3059321	3059442	122	"*"	258.888888888889	4660	18	0.718903033982566	0.0350877192982456
"chr2.112"	"chr2"	3102450	3102566	117	"*"	163.2	3264	20	0.894969254854081	0.107894736842105
"chr2.113"	"chr2"	3107483	3107772	290	"*"	241.954545454545	5323	22	0.880836301709256	0.102870813397129
"chr2.114"	"chr2"	3127495	3127696	202	"*"	506.346153846154	13165	26	0.760069102454021	0
"chr2.115"	"chr2"	3177377	3177637	261	"*"	286	6578	23	0.848817171823953	0.05720823798627
"chr2.117"	"chr2"	3196011	3196317	307	"*"	354.125	5666	16	0.653935254438731	0.0263157894736842
"chr2.119"	"chr2"	3280197	3280364	168	"*"	204.266666666667	3064	15	0.840484592880651	0.143859649122807
"chr2.120"	"chr2"	3282534	3282759	226	"*"	191.28125	6121	32	0.816030239954024	0.100328947368421
"chr2.121"	"chr2"	3287074	3287732	659	"*"	193.754098360656	11819	61	0.863694567505751	0.157031924072476
