"seqnames"	"start"	"end"	"width"	"strand"	"site_reads"	"site_mean"	"block"
"chr2.45582"	"chr2"	45582	45582	1	"*"	234	12.3157894736842	"chr2.1"
"chr2.45585"	"chr2"	45585	45585	1	"*"	224	11.7894736842105	"chr2.1"
"chr2.45588"	"chr2"	45588	45588	1	"*"	230	12.1052631578947	"chr2.1"
"chr2.45591"	"chr2"	45591	45591	1	"*"	222	11.6842105263158	"chr2.1"
"chr2.45594"	"chr2"	45594	45594	1	"*"	223	11.7368421052632	"chr2.1"
"chr2.45602"	"chr2"	45602	45602	1	"*"	206	10.8421052631579	"chr2.1"
"chr2.45612"	"chr2"	45612	45612	1	"*"	174	9.1578947368421	"chr2.1"
"chr2.45618"	"chr2"	45618	45618	1	"*"	154	9.05882352941176	"chr2.1"
"chr2.45627"	"chr2"	45627	45627	1	"*"	122	8.13333333333333	"chr2.1"
"chr2.45630"	"chr2"	45630	45630	1	"*"	117	7.8	"chr2.1"
"chr2.45636"	"chr2"	45636	45636	1	"*"	103	7.35714285714286	"chr2.1"
"chr2.47293"	"chr2"	47293	47293	1	"*"	473	24.8947368421053	"chr2.2"
"chr2.47294"	"chr2"	47294	47294	1	"*"	731	38.4736842105263	"chr2.2"
"chr2.47300"	"chr2"	47300	47300	1	"*"	489	25.7368421052632	"chr2.2"
"chr2.47301"	"chr2"	47301	47301	1	"*"	738	38.8421052631579	"chr2.2"
"chr2.47308"	"chr2"	47308	47308	1	"*"	514	27.0526315789474	"chr2.2"
"chr2.47309"	"chr2"	47309	47309	1	"*"	777	40.8947368421053	"chr2.2"
"chr2.47319"	"chr2"	47319	47319	1	"*"	533	28.0526315789474	"chr2.2"
"chr2.47320"	"chr2"	47320	47320	1	"*"	801	42.1578947368421	"chr2.2"
"chr2.47446"	"chr2"	47446	47446	1	"*"	492	25.8947368421053	"chr2.2"
"chr2.47447"	"chr2"	47447	47447	1	"*"	708	37.2631578947368	"chr2.2"
"chr2.47452"	"chr2"	47452	47452	1	"*"	492	25.8947368421053	"chr2.2"
"chr2.47453"	"chr2"	47453	47453	1	"*"	686	36.1052631578947	"chr2.2"
"chr2.47454"	"chr2"	47454	47454	1	"*"	489	25.7368421052632	"chr2.2"
"chr2.47455"	"chr2"	47455	47455	1	"*"	682	35.8947368421053	"chr2.2"
"chr2.47471"	"chr2"	47471	47471	1	"*"	431	22.6842105263158	"chr2.2"
"chr2.47472"	"chr2"	47472	47472	1	"*"	628	33.0526315789474	"chr2.2"
"chr2.47505"	"chr2"	47505	47505	1	"*"	336	17.6842105263158	"chr2.2"
"chr2.47506"	"chr2"	47506	47506	1	"*"	500	26.3157894736842	"chr2.2"
"chr2.47510"	"chr2"	47510	47510	1	"*"	314	16.5263157894737	"chr2.2"
"chr2.47511"	"chr2"	47511	47511	1	"*"	491	25.8421052631579	"chr2.2"
"chr2.47525"	"chr2"	47525	47525	1	"*"	274	14.4210526315789	"chr2.2"
"chr2.47526"	"chr2"	47526	47526	1	"*"	410	21.5789473684211	"chr2.2"
"chr2.47541"	"chr2"	47541	47541	1	"*"	259	15.2352941176471	"chr2.2"
"chr2.47542"	"chr2"	47542	47542	1	"*"	341	17.9473684210526	"chr2.2"
"chr2.47573"	"chr2"	47573	47573	1	"*"	248	14.5882352941176	"chr2.2"
"chr2.47574"	"chr2"	47574	47574	1	"*"	290	15.2631578947368	"chr2.2"
"chr2.47588"	"chr2"	47588	47588	1	"*"	273	16.0588235294118	"chr2.2"
"chr2.47589"	"chr2"	47589	47589	1	"*"	209	11.6111111111111	"chr2.2"
"chr2.47601"	"chr2"	47601	47601	1	"*"	287	15.1052631578947	"chr2.2"
"chr2.47602"	"chr2"	47602	47602	1	"*"	264	13.8947368421053	"chr2.2"
"chr2.90916"	"chr2"	90916	90916	1	"*"	129	8.6	"chr2.3"
"chr2.90949"	"chr2"	90949	90949	1	"*"	125	8.33333333333333	"chr2.3"
"chr2.90955"	"chr2"	90955	90955	1	"*"	116	8.28571428571429	"chr2.3"
"chr2.90999"	"chr2"	90999	90999	1	"*"	115	8.21428571428571	"chr2.3"
"chr2.91005"	"chr2"	91005	91005	1	"*"	117	8.35714285714286	"chr2.3"
"chr2.91013"	"chr2"	91013	91013	1	"*"	116	8.28571428571429	"chr2.3"
"chr2.91020"	"chr2"	91020	91020	1	"*"	129	9.21428571428571	"chr2.3"
"chr2.91041"	"chr2"	91041	91041	1	"*"	155	10.3333333333333	"chr2.3"
"chr2.91058"	"chr2"	91058	91058	1	"*"	153	10.9285714285714	"chr2.3"
"chr2.91069"	"chr2"	91069	91069	1	"*"	162	10.8	"chr2.3"
"chr2.91076"	"chr2"	91076	91076	1	"*"	165	11	"chr2.3"
"chr2.91095"	"chr2"	91095	91095	1	"*"	179	11.1875	"chr2.3"
"chr2.91096"	"chr2"	91096	91096	1	"*"	110	7.33333333333333	"chr2.3"
"chr2.91114"	"chr2"	91114	91114	1	"*"	229	12.0526315789474	"chr2.3"
"chr2.91115"	"chr2"	91115	91115	1	"*"	130	8.66666666666667	"chr2.3"
"chr2.91151"	"chr2"	91151	91151	1	"*"	271	14.2631578947368	"chr2.3"
"chr2.91152"	"chr2"	91152	91152	1	"*"	145	9.66666666666667	"chr2.3"
"chr2.91155"	"chr2"	91155	91155	1	"*"	276	14.5263157894737	"chr2.3"
"chr2.91156"	"chr2"	91156	91156	1	"*"	152	10.1333333333333	"chr2.3"
"chr2.91176"	"chr2"	91176	91176	1	"*"	261	13.7368421052632	"chr2.3"
"chr2.91177"	"chr2"	91177	91177	1	"*"	140	9.33333333333333	"chr2.3"
"chr2.91181"	"chr2"	91181	91181	1	"*"	255	13.4210526315789	"chr2.3"
"chr2.91182"	"chr2"	91182	91182	1	"*"	140	9.33333333333333	"chr2.3"
"chr2.91184"	"chr2"	91184	91184	1	"*"	259	13.6315789473684	"chr2.3"
"chr2.91185"	"chr2"	91185	91185	1	"*"	144	9	"chr2.3"
"chr2.160205"	"chr2"	160205	160205	1	"*"	366	19.2631578947368	"chr2.4"
"chr2.160206"	"chr2"	160206	160206	1	"*"	182	10.7058823529412	"chr2.4"
"chr2.160217"	"chr2"	160217	160217	1	"*"	369	19.4210526315789	"chr2.4"
"chr2.160218"	"chr2"	160218	160218	1	"*"	210	11.6666666666667	"chr2.4"
"chr2.160233"	"chr2"	160233	160233	1	"*"	392	20.6315789473684	"chr2.4"
"chr2.160234"	"chr2"	160234	160234	1	"*"	250	13.8888888888889	"chr2.4"
"chr2.160260"	"chr2"	160260	160260	1	"*"	386	20.3157894736842	"chr2.4"
"chr2.160261"	"chr2"	160261	160261	1	"*"	299	15.7368421052632	"chr2.4"
"chr2.160270"	"chr2"	160270	160270	1	"*"	380	20	"chr2.4"
"chr2.160271"	"chr2"	160271	160271	1	"*"	306	16.1052631578947	"chr2.4"
"chr2.160294"	"chr2"	160294	160294	1	"*"	319	16.7894736842105	"chr2.4"
"chr2.160295"	"chr2"	160295	160295	1	"*"	348	18.3157894736842	"chr2.4"
"chr2.160305"	"chr2"	160305	160305	1	"*"	290	15.2631578947368	"chr2.4"
"chr2.160306"	"chr2"	160306	160306	1	"*"	357	18.7894736842105	"chr2.4"
"chr2.160351"	"chr2"	160351	160351	1	"*"	207	12.1764705882353	"chr2.4"
"chr2.160352"	"chr2"	160352	160352	1	"*"	336	17.6842105263158	"chr2.4"
"chr2.160386"	"chr2"	160386	160386	1	"*"	172	10.1176470588235	"chr2.4"
"chr2.160387"	"chr2"	160387	160387	1	"*"	230	12.1052631578947	"chr2.4"
"chr2.160397"	"chr2"	160397	160397	1	"*"	191	10.0526315789474	"chr2.4"
"chr2.160398"	"chr2"	160398	160398	1	"*"	194	10.7777777777778	"chr2.4"
"chr2.193202"	"chr2"	193202	193202	1	"*"	242	14.2352941176471	"chr2.5"
"chr2.193203"	"chr2"	193203	193203	1	"*"	295	15.5263157894737	"chr2.5"
"chr2.193240"	"chr2"	193240	193240	1	"*"	367	19.3157894736842	"chr2.5"
"chr2.193241"	"chr2"	193241	193241	1	"*"	421	22.1578947368421	"chr2.5"
"chr2.193243"	"chr2"	193243	193243	1	"*"	377	19.8421052631579	"chr2.5"
"chr2.193244"	"chr2"	193244	193244	1	"*"	438	23.0526315789474	"chr2.5"
"chr2.193256"	"chr2"	193256	193256	1	"*"	410	21.5789473684211	"chr2.5"
"chr2.193257"	"chr2"	193257	193257	1	"*"	470	24.7368421052632	"chr2.5"
"chr2.193285"	"chr2"	193285	193285	1	"*"	375	19.7368421052632	"chr2.5"
"chr2.193286"	"chr2"	193286	193286	1	"*"	464	24.4210526315789	"chr2.5"
"chr2.193292"	"chr2"	193292	193292	1	"*"	377	19.8421052631579	"chr2.5"
"chr2.193293"	"chr2"	193293	193293	1	"*"	465	24.4736842105263	"chr2.5"
"chr2.193333"	"chr2"	193333	193333	1	"*"	321	16.8947368421053	"chr2.5"
"chr2.193334"	"chr2"	193334	193334	1	"*"	467	24.5789473684211	"chr2.5"
"chr2.193346"	"chr2"	193346	193346	1	"*"	325	17.1052631578947	"chr2.5"
"chr2.193347"	"chr2"	193347	193347	1	"*"	489	25.7368421052632	"chr2.5"
"chr2.193387"	"chr2"	193387	193387	1	"*"	320	16.8421052631579	"chr2.5"
"chr2.193388"	"chr2"	193388	193388	1	"*"	503	26.4736842105263	"chr2.5"
"chr2.193393"	"chr2"	193393	193393	1	"*"	331	17.4210526315789	"chr2.5"
"chr2.193394"	"chr2"	193394	193394	1	"*"	492	25.8947368421053	"chr2.5"
"chr2.193423"	"chr2"	193423	193423	1	"*"	377	19.8421052631579	"chr2.5"
"chr2.193424"	"chr2"	193424	193424	1	"*"	462	24.3157894736842	"chr2.5"
"chr2.193436"	"chr2"	193436	193436	1	"*"	397	20.8947368421053	"chr2.5"
